118 433
1 1 -3.3571428571428577
2 2 -6.5
3 3 4.142857142857144
5 5 -1.7142857142857144
6 6 -3.6428571428571432
7 7 2.7142857142857144
9 9 4.571428571428571
10 10 0.9285714285714284
11 11 -0.9285714285714286
12 12 -2.0
13 13 0.5714285714285714
14 14 -2.428571428571429
15 15 -6.785714285714286
16 16 1.2857142857142858
17 17 -2.5
18 18 0.857142857142857
19 19 -2.928571428571429
20 20 2.0
21 21 5.285714285714286
22 22 -0.6428571428571423
23 23 2.428571428571429
24 24 0.2857142857142858
25 25 1.4285714285714284
26 26 3.2857142857142856
27 27 5.5
28 28 -2.0
29 29 3.7142857142857144
30 30 2.2142857142857144
31 31 -0.35714285714285743
32 32 -5.357142857142858
33 33 0.35714285714285765
34 34 0.4285714285714284
36 36 5.642857142857143
37 37 1.642857142857143
38 38 0.6428571428571428
39 39 -2.0
40 40 0.5714285714285714
41 41 -1.3571428571428572
42 42 -5.5
43 43 1.5714285714285716
44 44 2.642857142857143
45 45 -0.9285714285714286
46 46 -1.0714285714285714
47 47 -2.0
48 48 -5.7142857142857135
49 49 1.357142857142857
50 50 -0.8571428571428572
51 51 -2.571428571428571
52 52 3.7142857142857144
53 53 -1.6428571428571428
54 54 5.0
55 55 0.9285714285714288
56 56 0.8571428571428572
57 57 3.2142857142857144
58 58 -3.0714285714285716
59 59 -1.5714285714285714
60 60 6.714285714285715
61 61 3.5714285714285716
62 62 -4.214285714285714
63 63 0.5714285714285718
64 64 1.3571428571428568
65 65 1.0
66 66 1.9285714285714282
67 67 -0.7857142857142854
68 68 2.2142857142857144
69 69 -0.4285714285714286
70 70 -4.357142857142858
71 71 -5.357142857142858
72 72 -4.071428571428571
73 73 -3.071428571428571
74 74 0.4285714285714288
75 75 -5.142857142857143
76 76 3.857142857142857
77 77 -2.1428571428571432
79 79 -0.1428571428571428
80 80 5.785714285714286
81 81 -4.285714285714286
82 82 -4.714285714285714
83 83 2.2142857142857144
84 84 -0.5
85 85 0.642857142857143
86 86 2.5
87 87 0.6428571428571432
88 88 -5.714285714285715
89 89 0.3571428571428572
90 90 -0.7857142857142858
91 91 0.7142857142857142
92 92 2.2857142857142856
93 93 -6.7857142857142865
94 94 -6.785714285714286
95 95 6.857142857142858
96 96 -4.357142857142858
97 97 -1.2142857142857137
98 98 -3.928571428571429
99 99 4.642857142857142
100 100 -3.1428571428571432
101 101 0.8571428571428568
102 102 2.2142857142857144
103 103 2.7142857142857144
104 104 1.357142857142857
105 105 -3.5
106 106 0.785714285714286
107 107 -4.571428571428571
108 108 0.4285714285714288
109 109 5.928571428571429
110 110 10.714285714285715
111 111 -3.0000000000000004
112 112 4.5
113 113 0.5714285714285714
114 114 7.571428571428571
115 115 3.5714285714285716
116 116 1.2142857142857146
117 117 3.7142857142857144
118 118 -2.357142857142857
1 2 2.0
1 5 2.0
1 17 1.3571428571428572
1 21 -1.7857142857142858
1 38 -2.0
1 43 1.7857142857142858
2 3 0.5714285714285714
2 5 1.3571428571428572
2 6 2.0
2 62 1.7857142857142858
2 66 -1.7857142857142858
2 85 0.5714285714285714
3 4 -2.0
3 6 -2.0
3 7 -1.7857142857142858
3 9 -0.9285714285714286
3 11 2.0
3 104 -0.5714285714285714
3 108 0.5714285714285714
4 7 -1.7857142857142858
4 54 1.7857142857142858
4 58 2.0
5 6 1.7857142857142858
5 38 -2.0
5 43 -1.7857142857142858
5 62 0.9285714285714286
5 66 -0.5714285714285714
6 7 0.9285714285714286
6 85 -0.9285714285714286
6 104 0.9285714285714286
6 108 0.9285714285714286
7 8 -2.0
7 9 0.5714285714285714
7 11 1.3571428571428572
8 54 -0.9285714285714286
8 58 2.0
8 81 0.9285714285714286
9 10 -1.3571428571428572
9 11 -2.0
9 98 0.9285714285714286
9 102 -1.7857142857142858
10 11 -1.3571428571428572
10 31 1.7857142857142858
10 48 1.3571428571428572
10 52 -1.3571428571428572
11 31 0.9285714285714286
12 15 2.0
13 14 1.3571428571428572
13 20 -1.3571428571428572
13 26 -0.5714285714285714
13 42 0.9285714285714286
13 46 -0.9285714285714286
14 15 1.7857142857142858
14 22 -1.7857142857142858
14 65 -0.9285714285714286
14 69 2.0
15 16 1.7857142857142858
15 22 -1.3571428571428572
15 107 2.0
15 111 0.5714285714285714
16 24 0.9285714285714286
16 34 -2.0
16 37 -2.0
16 57 -0.9285714285714286
16 61 0.9285714285714286
17 18 0.9285714285714286
17 21 -1.7857142857142858
17 96 2.0
18 19 -2.0
18 21 -0.9285714285714286
18 23 0.9285714285714286
18 27 -1.7857142857142858
18 47 2.0
19 20 1.7857142857142858
19 23 -1.7857142857142858
19 25 2.0
19 70 2.0
19 89 0.9285714285714286
20 25 1.3571428571428572
20 26 -1.7857142857142858
20 112 -2.0
21 23 0.5714285714285714
21 27 -1.3571428571428572
22 107 2.0
22 111 1.7857142857142858
23 25 -0.9285714285714286
23 47 -1.7857142857142858
23 70 0.5714285714285714
24 57 0.5714285714285714
24 61 -1.7857142857142858
24 80 -0.9285714285714286
24 84 0.9285714285714286
25 26 -0.9285714285714286
25 89 -0.9285714285714286
25 112 -2.0
27 29 -0.5714285714285714
27 43 -1.7857142857142858
28 31 -0.5714285714285714
28 32 0.5714285714285714
28 55 2.0
29 30 -1.7857142857142858
29 43 -1.7857142857142858
29 63 1.3571428571428572
29 66 -0.9285714285714286
30 31 -1.7857142857142858
30 86 -1.7857142857142858
30 105 1.7857142857142858
30 108 1.3571428571428572
32 33 2.0
32 35 0.9285714285714286
32 49 0.9285714285714286
32 52 0.9285714285714286
33 34 1.7857142857142858
33 35 -0.9285714285714286
33 36 -2.0
33 73 0.5714285714285714
