12 33
1 1 2.2857142857142856
2 2 1.357142857142857
3 3 1.3571428571428572
4 4 -1.3571428571428572
5 5 -3.7857142857142856
6 6 -2.2142857142857144
7 7 1.3571428571428572
8 8 -2.2142857142857144
9 9 -4.928571428571429
10 10 -2.428571428571429
11 11 -1.142857142857143
12 12 -2.0
1 3 -1.3571428571428572
1 7 -0.9285714285714286
2 3 0.9285714285714286
2 5 -0.9285714285714286
2 8 -1.3571428571428572
2 10 2.0
2 11 -2.0
3 10 -0.9285714285714286
4 9 1.3571428571428572
4 10 1.3571428571428572
4 11 -1.3571428571428572
5 7 1.3571428571428572
5 8 2.0
5 11 1.3571428571428572
6 7 -1.7857142857142858
6 8 2.0
6 12 2.0
8 11 1.3571428571428572
8 12 -1.7857142857142858
9 11 1.7857142857142858
9 12 1.7857142857142858
