12 33
1 1 2.357142857142857
2 2 5.142857142857143
3 3 4.357142857142857
4 4 -0.7142857142857144
5 5 -2.928571428571429
6 6 -3.2857142857142856
7 7 -3.2142857142857144
8 8 -2.8571428571428568
9 9 0.1428571428571428
10 10 0.5714285714285714
11 11 -4.714285714285714
12 12 0.1428571428571428
1 3 -1.7857142857142858
1 7 -0.5714285714285714
2 3 -2.0
2 5 -1.7857142857142858
2 8 0.9285714285714286
2 10 -1.3571428571428572
2 11 -0.9285714285714286
3 10 -0.5714285714285714
4 9 -2.0
4 10 1.3571428571428572
4 11 1.3571428571428572
5 7 2.0
5 8 1.3571428571428572
5 11 1.3571428571428572
6 7 1.7857142857142858
6 8 0.5714285714285714
6 12 0.9285714285714286
8 11 2.0
8 12 -2.0
9 11 0.9285714285714286
9 12 0.9285714285714286
