35 115
1 1 -0.714285714285714
2 2 -0.857142857142857
3 3 0.8571428571428572
4 4 5.5
5 5 -0.2857142857142858
6 6 -3.7142857142857144
7 7 -4.785714285714286
8 8 5.214285714285714
9 9 -3.2857142857142856
10 10 -4.928571428571429
11 11 -1.2857142857142858
12 12 -1.0714285714285714
13 13 -1.0000000000000002
14 14 1.4285714285714284
15 15 -1.2142857142857144
16 16 0.4285714285714286
17 17 -4.142857142857143
18 18 -2.928571428571429
19 19 2.5
20 20 -4.0
21 21 2.7142857142857144
22 22 0.14285714285714302
23 23 1.1428571428571432
24 24 -5.357142857142858
25 25 3.5
26 26 -2.2142857142857144
27 27 -3.428571428571429
28 28 -6.7857142857142865
29 29 -2.571428571428571
30 30 -5.714285714285714
31 31 -0.5714285714285714
32 32 -6.642857142857143
34 34 -2.4285714285714284
35 35 0.5
1 2 0.5714285714285714
1 5 -0.9285714285714286
1 13 -0.5714285714285714
1 18 0.5714285714285714
1 21 -0.9285714285714286
1 27 2.0
2 3 1.3571428571428572
2 5 -1.3571428571428572
2 6 -2.0
2 7 0.9285714285714286
2 32 1.3571428571428572
3 4 -1.7857142857142858
3 5 1.3571428571428572
3 7 0.9285714285714286
3 11 -1.3571428571428572
3 14 -1.3571428571428572
4 7 0.9285714285714286
4 8 -2.0
4 20 0.9285714285714286
4 25 -1.7857142857142858
4 34 -1.7857142857142858
5 6 1.7857142857142858
5 7 -0.5714285714285714
5 13 1.7857142857142858
5 18 -1.7857142857142858
6 22 0.5714285714285714
6 28 1.3571428571428572
6 32 2.0
7 8 0.5714285714285714
7 34 2.0
8 12 -0.9285714285714286
8 15 -0.9285714285714286
8 20 -1.3571428571428572
8 25 -0.5714285714285714
9 11 1.7857142857142858
9 14 0.5714285714285714
9 21 0.9285714285714286
10 12 2.0
10 15 0.9285714285714286
10 29 2.0
11 16 -0.9285714285714286
11 32 1.7857142857142858
12 15 -0.5714285714285714
12 17 0.5714285714285714
13 14 -2.0
13 18 1.7857142857142858
14 16 1.3571428571428572
15 17 1.7857142857142858
16 22 -1.7857142857142858
16 32 0.9285714285714286
17 30 1.7857142857142858
18 31 0.5714285714285714
18 34 1.7857142857142858
19 20 1.7857142857142858
19 23 -1.3571428571428572
19 25 -0.9285714285714286
19 29 -2.0
20 25 1.7857142857142858
20 26 1.7857142857142858
20 33 -0.9285714285714286
21 23 -1.7857142857142858
21 27 -0.9285714285714286
22 24 -0.9285714285714286
22 28 2.0
23 27 1.7857142857142858
23 29 2.0
23 31 -1.7857142857142858
24 26 0.9285714285714286
24 28 2.0
24 30 1.3571428571428572
24 35 2.0
25 26 -2.0
26 30 0.5714285714285714
26 33 0.9285714285714286
27 29 0.5714285714285714
28 30 2.0
28 35 -0.5714285714285714
31 34 1.7857142857142858
32 33 0.5714285714285714
33 35 -0.5714285714285714
34 35 -1.3571428571428572
