118 437
1 1 -0.6428571428571428
2 2 0.1428571428571428
3 3 -1.7857142857142858
4 4 -0.9285714285714286
5 5 1.2142857142857135
6 6 -1.2857142857142854
7 7 -5.5
8 8 1.1428571428571428
9 9 3.7857142857142865
10 10 -6.214285714285714
11 11 -0.2857142857142856
12 12 1.7857142857142858
13 13 2.642857142857143
14 14 1.4285714285714286
15 15 -1.4285714285714284
16 16 -5.5
17 17 -2.7142857142857144
18 18 -2.7142857142857144
19 19 5.428571428571429
20 20 1.2857142857142858
21 21 -0.9285714285714284
22 22 3.357142857142857
23 23 -7.071428571428571
24 24 2.2142857142857144
25 25 1.9285714285714284
26 26 1.3571428571428572
27 27 -1.4285714285714286
28 28 -2.142857142857143
29 29 -4.5
30 30 -2.1428571428571432
31 31 -3.8571428571428577
32 32 0.3571428571428572
33 33 1.5000000000000002
34 34 -2.928571428571429
35 35 -0.07142857142857117
36 36 -2.642857142857143
37 37 2.2857142857142856
38 38 -0.8571428571428572
39 39 2.0
40 40 -0.5714285714285714
41 41 2.7857142857142856
42 42 -3.2857142857142856
43 43 1.9285714285714295
44 44 -3.357142857142857
45 45 -2.5
46 46 0.3571428571428572
47 47 -2.1428571428571432
48 48 -0.8571428571428572
49 49 -0.7857142857142856
50 50 1.5714285714285714
51 51 4.642857142857142
52 52 -4.571428571428571
53 53 3.2857142857142856
54 54 2.0714285714285716
55 55 -0.5
56 56 -3.000000000000001
57 57 -7.142857142857143
58 58 1.5
59 59 -3.8571428571428563
60 60 2.000000000000001
61 61 1.2857142857142856
62 62 3.071428571428571
63 63 -1.0714285714285712
64 64 -1.6428571428571428
65 65 1.214285714285714
66 66 2.8571428571428568
67 67 -0.7142857142857149
68 68 4.071428571428572
69 69 4.857142857142857
70 70 4.142857142857143
71 71 6.642857142857143
72 72 3.357142857142857
73 73 -1.4999999999999998
74 74 -0.857142857142857
75 75 -2.428571428571429
76 76 9.071428571428571
77 77 2.5
78 78 0.2142857142857142
79 79 0.9999999999999998
80 80 2.642857142857143
81 81 0.5714285714285712
82 82 0.7857142857142858
83 83 -0.7142857142857144
84 84 3.428571428571429
85 85 4.071428571428572
86 86 2.1428571428571423
87 87 -2.0000000000000004
88 88 2.5714285714285716
89 89 -1.1428571428571426
90 90 -8.428571428571429
91 91 -1.2142857142857144
92 92 -0.785714285714286
93 93 6.142857142857143
94 94 -1.7142857142857142
95 95 5.428571428571429
96 96 4.071428571428571
97 97 4.428571428571429
98 98 1.7142857142857137
99 99 2.357142857142857
100 100 0.9285714285714286
101 101 4.857142857142858
102 102 1.357142857142857
103 103 -1.4285714285714286
104 104 2.1428571428571423
105 105 8.714285714285715
106 106 1.142857142857143
107 107 -4.857142857142858
108 108 -5.214285714285715
109 109 5.357142857142858
110 110 -1.4285714285714284
111 111 2.7857142857142856
112 112 -3.928571428571429
113 113 -2.7142857142857144
114 114 -4.857142857142858
115 115 5.071428571428572
116 116 -8.642857142857142
117 117 2.7142857142857135
118 118 -5.0
1 2 2.0
1 5 1.3571428571428572
1 17 0.9285714285714286
1 21 -1.7857142857142858
1 38 -0.9285714285714286
1 43 -0.9285714285714286
2 3 -0.9285714285714286
2 5 1.3571428571428572
2 6 0.5714285714285714
2 62 -2.0
2 66 -0.5714285714285714
2 85 -0.5714285714285714
3 4 1.3571428571428572
3 6 2.0
3 7 0.5714285714285714
3 9 -1.3571428571428572
3 11 -0.9285714285714286
3 104 -0.9285714285714286
3 108 2.0
4 7 1.7857142857142858
4 8 0.9285714285714286
4 54 -1.7857142857142858
4 58 -1.3571428571428572
5 6 -1.3571428571428572
5 38 -0.9285714285714286
5 43 -2.0
